survey,section,item_id,text
pre_survey,demographics,D1,"Gender (1=Male, 2=Female, 3=Non-binary/third gender)"
pre_survey,demographics,D3,"Age group (1=18-29, 2=30-39, 3=40-49, 4=50-59, 5=60+)"
pre_survey,demographics,D4,"Country (1=United States, 2=Canada, 3=Australia, 4=New Zealand, 5=United Kingdom, 6=Ireland)"
pre_survey,demographics,D5,"Education (1=Middle school or less, 2=High school, 3=College/University, 4=Graduate or above)"
pre_survey,agent_game_experience,AG1,I have experienced playing AI agent games. (y/n)
pre_survey,use_of_ai,U1,I have used AI tools. (y/n)
pre_survey,use_of_ai,U2,(If U1 is y) I currently use AI tools. (y/n)
pre_survey,use_of_ai,U3,"(If U2 is y) How often do you use AI tools? (1=Very frequently, 2=Once or twice a day, 3=Once or twice a week, 4=Once or twice a month, 5=Once every few months, 6=Once or twice a year)"
pre_survey,negative_attitude_toward_ai,NA1,I think AI is dangerous.
pre_survey,negative_attitude_toward_ai,NA2,I think organizations use AI unethically.
pre_survey,negative_attitude_toward_ai,NA3,AI feels sinister to me.
pre_survey,negative_attitude_toward_ai,NA4,I think AI is being used to surveil people.
pre_survey,negative_attitude_toward_ai,NA5,Thinking about future uses of AI makes me shudder.
pre_survey,negative_attitude_toward_ai,NA6,I think AI might end up controlling people.
pre_survey,negative_attitude_toward_ai,NA7,I think AI systems make many errors.
pre_survey,negative_attitude_toward_ai,NA8,"If AI is used more and more, people like me will be harmed."
post_survey,perceived_knowledge,PK1,I think I know this topic well.
post_survey,trust_in_ai,T1,This system is dependable.
post_survey,trust_in_ai,T2,I can trust this system.
post_survey,trust_in_ai,T3,This system is reliable.
post_survey,perceived_trustworthiness,PTW1,This system behaves dishonestly.
post_survey,perceived_trustworthiness,PTW2,"I am suspicious of this system's intentions, actions, or outputs."
post_survey,perceived_trustworthiness,PTW3,I am wary of this system.
post_survey,perceived_trustworthiness,PTW4,This system's actions will be harmful or cause damage.
post_survey,perceived_trustworthiness,PTW5,I trust this system.
post_survey,perceived_trustworthiness,PTW6,This system provides safety.
